,reg,elev,mh,CO,open,needle,grass,erica,junip,tree,rhodo,rock,soil_mean,n_mean,elevation_dGPS,corr_distance,corr_distance_infertile,season,germinated_total_2016,germinated_total_15_16,germinated_total_0_2016,germinated_total_0_15_16,pH,T_mean,T_max,T_min,T_sd,snow_cover,growing_days,habitat,Latitude,Longitude,readnumbers
D2100V3_1,D,2100,V,99.84,10,0,0,75,15,0,0,0,6.38,0.006,2098.818848,4,7,May,0,0,5,5,4.24,7.093261719,72.5,-8,13.18820562,174.8333333,121.3333333,pine,46.7330563,9.850629906,29229
D2100V3_2,D,2100,V,99.84,10,0,0,75,15,0,0,0,6.38,0.006,2098.818848,4,7,September,0,0,5,5,4.7,7.093261719,72.5,-8,13.18820562,174.8333333,121.3333333,pine,46.73299729,9.85052656,17467
D2100V4_1,D,2100,V,46.8,20,0,0,80,0,0,0,0,23.54,0.046,2099.37915,6,6,May,0,0,5,5,3.73,NA,NA,NA,NA,NA,NA,pine,46.73286619,9.850514188,11373
D2100V4_2,D,2100,V,46.8,20,0,0,80,0,0,0,0,23.54,0.046,2099.37915,6,6,September,0,0,5,5,4.24,NA,NA,NA,NA,NA,NA,pine,46.73291731,9.85071637,8990
D2150B1_1,D,2150,B,0,5,50,0,0,0,15,0,30,25.34,0.036,2160.450684,0.5,0.5,May,0,0,5,5,3.9,3.063232422,38.5,-5,6.588229553,179,111,ecotone,46.73378913,9.851851198,8465
D2150B1_2,D,2150,B,0,5,50,0,0,0,15,0,30,25.34,0.036,2160.450684,0.5,0.5,September,0,0,5,5,4.12,3.063232422,38.5,-5,6.588229553,179,111,ecotone,46.73384359,9.851817867,10059
D2150B2_1,D,2150,B,99.84,10,0,0,80,10,0,0,0,12.44,0.022,2163.343262,0.5,7,May,0,0,5,5,4.12,5.649169922,62,-6,11.33816867,190.3333333,108.8333333,ecotone,46.73376442,9.851743446,16630
D2150B2_2,D,2150,B,99.84,10,0,0,80,10,0,0,0,12.44,0.022,2163.343262,0.5,7,September,0,0,5,5,4.31,5.649169922,62,-6,11.33816867,190.3333333,108.8333333,ecotone,46.73378351,9.851833621,11144
D2150B3_1,D,2150,B,99.84,10,0,0,85,0,5,0,0,16.1,0.014,2162.807373,0.5,0.5,May,0,0,5,5,4.23,4.520996094,48,-6,8.218442246,188.3333333,115,ecotone,46.73375396,9.85181554,8653
D2150B3_2,D,2150,B,99.84,10,0,0,85,0,5,0,0,16.1,0.014,2162.807373,0.5,0.5,September,0,0,5,5,4.51,4.520996094,48,-6,8.218442246,188.3333333,115,ecotone,46.73373104,9.851821228,10964
D2150B4_1,D,2150,B,99.84,20,5,5,60,0,5,0,10,19.36,0.026,2161.783447,0.5,0.5,May,0,0,5,5,3.42,NA,NA,NA,NA,NA,NA,ecotone,46.73370776,9.851889027,10113
D2150B4_2,D,2150,B,99.84,20,5,5,60,0,5,0,10,19.36,0.026,2161.783447,0.5,0.5,September,0,1,5,4,4.24,NA,NA,NA,NA,NA,NA,ecotone,46.7338347,9.851800974,17954
D2150V1_1,D,2150,V,99.84,5,0,0,90,5,0,0,0,25.56,0.03,2163.023438,0.5,6,May,0,0,5,5,3.95,5.251708984,66,-7,11.16203861,204.6666667,104.8333333,ecotone,46.73443336,9.853180913,9735
D2150V1_2,D,2150,V,99.84,5,0,0,90,5,0,0,0,25.56,0.03,2163.023438,0.5,6,September,0,1,5,4,4.28,5.251708984,66,-7,11.16203861,204.6666667,104.8333333,ecotone,46.73451614,9.853139502,9758
D2150V2_1,D,2150,V,99.84,25,0,0,65,0,0,0,10,17.04,0.018,2164.573242,2,8,May,0,0,5,5,3.98,4.838867188,58,-6,9.200471149,206.8333333,104.3333333,ecotone,46.7345626,9.853059071,14018
D2150V2_2,D,2150,V,99.84,25,0,0,65,0,0,0,10,17.04,0.018,2164.573242,2,8,September,2,2,3,3,4.11,4.838867188,58,-6,9.200471149,206.8333333,104.3333333,ecotone,46.73455063,9.853029857,7317
D2150V3_1,D,2150,V,99.84,30,0,0,50,0,0,0,20,33.82,0.02,2162.686523,3,3,May,0,0,5,5,4.1,5.08984375,53,-4.5,9.223357934,197.5,110.5,ecotone,46.7345172,9.853127707,8633
D2150V3_2,D,2150,V,99.84,30,0,0,50,0,0,0,20,33.82,0.02,2162.686523,3,3,September,0,0,5,5,4.05,5.08984375,53,-4.5,9.223357934,197.5,110.5,ecotone,46.73451195,9.853044151,13805
D2150V4_1,D,2150,V,99.84,50,0,0,45,0,0,0,5,22.34,0.01,2162.506348,0.5,0.5,May,0,0,5,5,4.35,NA,NA,NA,NA,NA,NA,ecotone,46.73451157,9.853039012,9007
D2150V4_2,D,2150,V,99.84,50,0,0,45,0,0,0,5,22.34,0.01,2162.506348,0.5,0.5,September,0,1,5,4,4.41,NA,NA,NA,NA,NA,NA,ecotone,46.7343918,9.853062385,14234
D2200B1_1,D,2200,B,99.84,0,0,25,25,25,25,0,0,20.18,0.02,2187.781006,0.5,120,May,0,0,5,5,3.81,3.622802734,42,-5.5,6.711602693,201,105.1666667,ecotone,46.73470391,9.853751891,8204
D2200B1_2,D,2200,B,99.84,0,0,25,25,25,25,0,0,20.18,0.02,2187.781006,0.5,120,September,2,2,3,3,4.33,3.622802734,42,-5.5,6.711602693,201,105.1666667,ecotone,46.7346781,9.853813147,8729
D2200B2_1,D,2200,B,99.84,20,0,20,50,5,5,0,0,19.12,0.01,2187.768311,0.5,120,May,0,0,5,5,3.98,5.434814453,70.5,-6.5,10.87117682,194.5,107.8333333,ecotone,46.7347,9.85393,11854
D2200B2_2,D,2200,B,99.84,20,0,20,50,5,5,0,0,19.12,0.01,2187.768311,0.5,120,September,0,0,4,5,4.51,5.434814453,70.5,-6.5,10.87117682,194.5,107.8333333,ecotone,46.73469105,9.853855715,4714
D2200B3_1,D,2200,B,99.84,0,0,0,40,40,15,0,5,21.06,0.008,2186.840088,0.5,120,May,0,0,5,5,3.92,4.704345703,63,-7,9.136048499,201.5,102.6666667,ecotone,46.73468818,9.853815454,12529
D2200B3_2,D,2200,B,99.84,0,0,0,40,40,15,0,5,21.06,0.008,2186.840088,0.5,120,September,1,1,4,4,4.51,4.704345703,63,-7,9.136048499,201.5,102.6666667,ecotone,46.73471,9.85388,8559
D2200B4_1,D,2200,B,99.84,0,0,0,30,0,30,25,15,12.14,0.004,2185.488525,0.5,120,May,0,0,5,5,4.18,NA,NA,NA,NA,NA,NA,ecotone,46.73474474,9.853884301,4989
D2200B4_2,D,2200,B,99.84,0,0,0,30,0,30,25,15,12.14,0.004,2185.488525,0.5,120,September,0,0,3,5,4.6,NA,NA,NA,NA,NA,NA,ecotone,46.73472892,9.853843859,16307
D2200V1_1,D,2200,V,99.84,5,0,0,70,25,0,0,0,12.54,0.014,2188.064209,2,120,May,0,0,5,5,4.28,6.223388672,69.5,-6.5,13.40692917,197.8333333,109,ecotone,46.73516724,9.854532574,7210
